ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1547832551,2025-06-03T17:50:09.502000,2025-06-03T17:51:55.967000,sell,0.01,0.01,BTCUSD,105916.26,105959.5,105959.5,,-0.16,0,-0.44,,,sl
1547828008,2025-06-03T17:42:26.770000,2025-06-03T17:48:32.085000,sell,0.01,0.01,BTCUSD,105897.27,105952.95,105952.95,,-0.16,0,-0.56,,,sl
1547825067,2025-06-03T17:38:48.035000,2025-06-03T17:41:13.068000,buy,0.01,0.01,BTCUSD,105981.99,105940.44,105940.44,,-0.16,0,-0.42,,,sl
1547820070,2025-06-03T17:34:16.533000,2025-06-03T17:37:25.881000,sell,0.01,0.01,BTCUSD,105965.37,105945.32,105965.37,,-0.16,0,0.2,,,user
1547798066,2025-06-03T17:17:05.407000,2025-06-03T17:27:28.756000,buy,0.01,0.01,BTCUSD,106008.62,106040.42,106040.42,,-0.16,0,0.31,,,sl
1547790561,2025-06-03T17:10:41.095000,2025-06-03T17:13:01.039000,buy,0.01,0.01,BTCUSD,106047.33,105977.9,105977.9,,-0.16,0,-0.69,,,sl
1547061737,2025-06-03T11:36:07.854000,2025-06-03T11:37:01.581000,sell,0.01,0.01,BTCUSD,105218,105252.35,105252.35,,-0.16,0,-0.34,,,sl
1546839592,2025-06-03T08:54:06.098000,2025-06-03T09:34:11.757000,sell,0.01,0.01,BTCUSD,105054.62,105182.75,105182.75,,-0.16,0,-1.28,,,sl
1545968474,2025-06-03T02:47:00.223000,2025-06-03T06:11:19.346000,sell,0.01,0.01,BTCUSD,105905.84,105399.31,106106.7,104057.96,-0.16,0,5.07,,,user
1545982392,2025-06-03T00:38:20.310000,2025-06-03T00:39:04.647000,sell,0.01,0.01,BTCUSD,106212.94,106308.39,106308.39,,-0.16,0,-0.95,,,sl
1545972788,2025-06-03T00:28:05.833000,2025-06-03T00:35:03.390000,sell,0.01,0.01,BTCUSD,106219.47,106420.03,106420.03,,-0.16,0,-2.01,,,sl
1545968932,2025-06-03T00:23:35.938000,2025-06-03T00:24:57.454000,sell,0.01,0.01,BTCUSD,106387.45,106462.92,106462.92,,-0.16,0,-0.76,,,sl
1545871132,2025-06-02T21:55:00.649000,2025-06-02T22:38:31.253000,buy,0.01,0.01,BTCUSD,104956.2,105706.59,105706.59,,-0.16,0,7.51,,,sl
1545866852,2025-06-02T21:13:01.160000,2025-06-02T21:50:55,sell,0.01,0.01,BTCUSD,105080.81,104930.66,104930.66,,-0.16,0,1.5,,,sl
1545865075,2025-06-02T21:00:02.595000,2025-06-02T21:11:56.219000,buy,0.01,0.01,BTCUSD,104996.6,105028.65,105028.65,,-0.16,0,0.32,,,sl
1545859476,2025-06-02T20:41:16.372000,2025-06-02T20:46:09.319000,buy,0.01,0.01,BTCUSD,104854.12,104854.47,104854.47,,-0.16,0,0,,,sl
1545856213,2025-06-02T20:30:26.052000,2025-06-02T20:31:01.458000,buy,0.01,0.01,BTCUSD,104913.37,104890.31,104890.31,,-0.16,0,-0.23,,,sl
